event_id,user_id,timestamp,event_type,ip_address,city,device,is_shared_label
c08ba2aa-8656-41bc-9de0-33b9f73eb28b,84376780-4562-44e3-9d5d-62af841914bc,2026-05-12 07:56:48.481891,add_to_cart,187.197.19.254,Tinsukia,Mac,False
22dcfc11-4a2e-4e9d-87c0-0ee74f4543f7,c397b970-df6d-4597-8981-05e0a6d7542e,2026-05-12 07:57:06.471353,login,181.5.220.63,Ramgarh,iOS,False
e60f0eb1-43a0-482a-8210-000cf9b2cc4c,706dbb3d-e0fe-4ba8-bc54-9637f5ab8db6,2026-05-12 07:58:38.381258,view_item,219.223.219.6,Solapur,Mac,False
a9b9f996-4338-4f90-b95c-8c17622db63d,d5a5dd05-6af8-4974-b307-78e1333cac47,2026-05-12 08:01:25.070145,view_item,7.74.112.25,Kanpur,Windows,False
e72ada3c-4c52-4fdc-ae09-aa0f8ff297a0,f3211ad3-e5a7-4eb1-820a-924df13569fb,2026-05-12 08:06:58.617018,purchase,84.163.89.47,Bokaro,Mac,False
2ac670ec-bb5e-4467-9b77-2d35b67b356f,6c4bbfaa-127e-4ff4-94e8-52be503286a8,2026-05-12 08:07:10.325224,login,102.41.195.194,Bhilwara,Mac,False
ec8d86b9-07c3-402c-ba59-69c629110285,d3644ecd-8ebe-40d2-9c89-dbc4c7e4664f,2026-05-12 08:14:09.660654,view_item,143.187.222.154,Udaipur,Windows,False
04b7a0c3-bb1b-4d0c-858a-edb85e2c62df,e841c510-71cd-4f13-85b4-47b4e7c79577,2026-05-12 08:14:11.992248,add_to_cart,113.89.181.159,Amravati,Android,False
9e733dc2-351b-45d9-a8ac-888058097e49,d81bc4f7-43c6-4096-ac3d-9e68011c1944,2026-05-12 08:14:33.118110,view_item,181.34.130.3,Alappuzha,iOS,False
c3af83b1-3669-4539-b718-08ff3bcce7d0,ec6f81b0-90fe-4f35-ac02-5e4d80ab1651,2026-05-12 08:16:36.392088,view_item,130.148.3.51,Bulandshahr,iOS,False
cd337ab3-0629-479a-9edb-b5cc2ce8f9c2,cda08609-5352-4c54-890b-906033e1dd04,2026-05-12 08:17:34.324590,view_item,172.44.102.75,Satara,Android,False
54db46c0-ca10-448b-94d9-7d8dbd85d3b3,364beeb8-de8b-481b-9eff-a7592e33ea2f,2026-05-12 08:22:48.450137,view_item,19.253.55.212,Madhyamgram,iOS,False
4222d0a9-0b32-49d8-91f6-0a1ea31d3698,83a89201-34e2-4f7c-bad9-c4ac1327a6ba,2026-05-12 08:26:48.488458,add_to_cart,88.194.56.165,Bhatpara,Android,False
1cfef718-efe6-47d5-b5c8-f913a2514ea6,e94fa189-1dcd-445a-841e-2311709e060b,2026-05-12 08:28:20.768095,view_item,90.21.216.46,Ajmer,Mac,False
5aaeb10d-db40-427d-b704-57b794a7cb74,26840b9b-3ab8-425b-bd87-556f76a089e7,2026-05-12 08:32:02.996092,add_to_cart,163.60.60.188,Bhusawal,Windows,False
fcc35356-b2d3-4736-8e99-6bae2f237842,14c721f9-0fa4-45a6-8d8e-3e483fcb05eb,2026-05-12 08:33:53.245682,view_item,36.22.169.198,Shahjahanpur,Windows,False
703fc885-307e-4424-905d-d14d1b9b662b,f967a6ba-e04c-4231-abbf-82533f6531d8,2026-05-12 08:38:31.818791,login,38.109.247.155,Jamshedpur,Mac,False
221668fe-2120-4889-8e06-ec59df53e262,31fb3298-234e-4f60-9a92-7e877524af8e,2026-05-12 08:38:46.011249,add_to_cart,119.223.76.171,Kottayam,Mac,False
